SMILES,LogP,QED,SAS
"CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1
",5.0506,0.702012232801,2.0840945720726807
"C[C@@H]1CC(Nc2cncc(-c3nncn3C)c2)C[C@@H](C)C1
",3.1137,0.928975488089,3.4320038192747795
"N#Cc1ccc(-c2ccc(O[C@@H](C(=O)N3CCCC3)c3ccccc3)cc2)cc1
",4.96778,0.599681738168,2.4706326078252
"CCOC(=O)[C@@H]1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1
",4.00022,0.690944353014,2.8227533111709646
"N#CC1=C(SCC(=O)Nc2cccc(Cl)c2)N=C([O-])[C@H](C#N)C12CCCCC2
",3.60956,0.7890271545540001,4.035182138302743
"CC[NH+](CC)[C@](C)(CC)[C@H](O)c1cscc1Br
",2.6374,0.824368801371,5.091437549913934
"COc1ccc(C(=O)N(C)[C@@H](C)C/C(N)=N/O)cc1O
",0.9978,0.327296942917,2.8523163989668188
"O=C(Nc1nc[nH]n1)c1cccnc1Nc1cccc(F)c1
",2.3347,0.6876120611859999,2.627857491802141
"Cc1c(/C=N/c2cc(Br)ccn2)c(O)n2c(nc3ccccc32)c1C#N
",4.2813,0.483078613889,3.073935310669482
"C[C@@H]1CN(C(=O)c2cc(Br)cn2C)CC[C@H]1[NH3+]
",0.8801,0.8350242768889999,3.947933469646377
"CCOc1ccc(OCC)c([C@H]2C(C#N)=C(N)N(c3ccccc3C(F)(F)F)C3=C2C(=O)CCC3)c1
",5.8075800000000015,0.533054502614,3.1732023342288147
"Cc1ccc2nc(S[C@H](C)C(=O)NC3CCC(C)CC3)n(C)c(=O)c2c1
",3.41742,0.645397634811,2.692305637306095
"O=C(N1CCc2c(F)ccc(F)c2C1)C1(O)Cc2ccccc2C1
",2.3794,0.873135845828,2.7331997723158103
"Cc1ccccc1C(=O)N1CCC2(CC1)C[C@H](c1ccccc1)C(=O)N2C
",3.61572,0.7978038350550001,3.3503522834969197
"CCCc1cc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)n(C)n1
",1.8118,0.787345956039,3.0775671757676357
"CC(C)Cc1nc(SCC(=O)NC[C@@H]2CCCO2)c2c(=O)n(C)c(=O)n(C)c2n1
",0.613,0.525052380159,3.1125333770559696
"Cc1ccc(CNC(=O)c2ccccc2NC(=O)[C@@H]2CC(=O)N(c3ccc(C)cc3)C2)cc1
",4.22504,0.577048775827,2.4290374060065134
"CCCCC(=O)NC(=S)Nc1ccccc1C(=O)N1CCOCC1
",2.1622,0.800069612705,2.037915156931195
"Cc1c(NC(=O)CSc2nc3sc4c(c3c(=O)[nH]2)CCCC4)c(=O)n(-c2ccccc2)n1C
",3.39202,0.329473892012,2.6221777066092478
"CC(C)[C@@H](Oc1cccc(Cl)c1)C(=O)N1CCC(n2cccn2)CC1
",3.8036,0.788499104818,2.9404693666843014
"CCN(CC)C(=O)C[C@@H](C)[NH2+][C@H](C)c1cccc(F)c1F
",2.2362,0.8254878080220001,3.878253819274778
"Cc1nc2c(c(Nc3ncc(C)s3)n1)CCN(C(=O)CCc1ccccc1)C2
",3.81104,0.691789680398,2.545686177141297
"O=C(NCCNC(=O)N1C[C@H]2CC=CC[C@@H]2C1)c1cccnc1
",1.419,0.658574943009,3.1943522106224136
"O=c1n(CCO)c2ccccc2n1CCO
",-0.2124,0.7765984687690001,2.1086346291944853
"COC(=O)Cc1csc(NC(=O)Cc2coc3cc(C)ccc23)n1
",3.09442,0.7104289086300001,2.30881719313029
"Cc1ccc(N2CC[C@@H](NS(=O)(=O)c3ccccc3C)C2=O)cc1C
",2.69566,0.909748572395,2.595621196728107
"CC[C@H](C)C[C@@H](C)NC(=O)N1CCN(CC(=O)NC2CC2)CC1
",1.4169,0.751938376416,2.9068065652230364
"CC(=O)Nc1c2n(c3ccccc13)C[C@](C)(C(=O)NC1CCCCC1)N(C1CCCCC1)C2=O
",4.5958,0.663239457023,3.1983612450235803
"N#Cc1ccncc1NC[C@@H]1C[C@@]12CCc1ccccc12
",3.26928,0.919377068947,3.9186021755539393
"Cc1cccn2c(=O)c(C(=O)NC[C@H]3CCO[C@@H]3C(C)C)cnc12
",1.79382,0.934718058892,3.449086114198873
"CNC(=O)c1ccc(/C=C/C(=O)Nc2c(C)cc(C)nc2Cl)cc1
",3.36334,0.64765252107,2.23947196482918
"CC1=C(CNC(=O)c2cc(-c3ccccc3)nc3c2CNN3C(C)C)CN=N1
",3.4512,0.819556620415,3.350933313893432
"C[C@@H](NC(=O)COC(=O)/C=C/c1ccc(Cl)cc1)c1ccccc1
",3.7738,0.62222414602,2.2578478658596044
"CCc1ccc(N(Cc2ccc(C)s2)C(=O)c2ccc(=O)n(C)n2)cc1
",3.55962,0.676122711054,2.398371955217087
"CCOC(=O)c1nnc2ccccc2c1N1CC[C@@H]([NH+](CC)CC)C1
",1.3099,0.810674072532,3.8898396808771496
"Cc1ccc(C#N)cc1S(=O)(=O)NCc1ccnc(OC(C)(C)C)c1
",2.9175,0.878348029523,2.458668204502434
"O=C(O[C@H]1CCOC1)C1(c2ccc(Cl)c(Cl)c2)CCC1
",3.7472,0.773968195441,2.9338674926844224
"CCC[NH2+][C@@H]1COC[C@H]1C(=O)NCc1cscc1C
",0.6611199999999999,0.820213964575,4.5919783731363575
"O=C(NCc1nccc2ccccc12)c1ccc[nH]c1=O
",1.8531,0.773066837821,2.1587800643161543
"CC(=O)c1ccc(S(=O)(=O)N2CCCC[C@H]2C)cc1
",2.4523,0.7993128200730001,2.276808227461629
"O=[N+]([O-])c1c(Nc2cccc3ncccc23)ncnc1N1CCN(c2cccc(Cl)c2)CC1
",4.6566,0.32317117146,2.399710276167351
